AGGH,Honiara International Airport
KAEL,Albert Lea Municipal Airport
KAEX,Alexandria International Airport
KAFF,USAF Academy Airfield
KAFJ,Washington County Airport
KAFK,Nebraska City Municipal Airport
KAFN,Jaffrey Airport Silver Ranch Airport
KAFO,Afton Municipal Airport
KAFP,Anson County Airport - Jeff Cloud Field
KAFW,Fort Worth Alliance Airport
KAGC,Allegheny County Airport
KAGS,Augusta Regional At Bush Field
KAHN,Athens Ben Epps Airport
KAHQ,Wahoo Municipal Airport
KAIA,Alliance Municipal Airport
KAIB,Hopkins Field
KAIG,Langlade County Airport
KAIK,Aiken Regional Airport
KAIO,Atlantic Municipal Airport
KAIT,Aitkin Municipal Steve Kurtz Field
KAIZ,Lee C Fine Memorial Airport
KAJG,Mount Carmel Municipal Airport
KAJO,Corona Municipal Airport
KAJR,Habersham County Airport
KAJZ,Blake Field
KAKH,Gastonia Municipal Airport
KAKO,Colorado Plains Regional Airport
KAKQ,Wakefield Municipal Airport
KAKR,Akron Fulton International Airport
KALB,Albany International Airport
KALI,Alice International Airport
KALM,Alamogordo White Sands Regional Airport
KALN,St Louis Regional Airport
KALO,Waterloo Regional Airport
KALS,San Luis Valley Regional Bergman Field
KALW,Walla Walla Regional Airport
KALX,Thomas C Russell Field
KAMA,Rick Husband Amarillo International Airport
KAMG,Bacon County Airport
KAMN,Gratiot Community Airport
KAMW,Ames Municipal Airport
KANB,Anniston Regional Airport
KAND,Anderson Regional Airport
KANE,Anoka County-Blaine (Janes Field) Airport
KANJ,Sault Ste Marie Municipal Sanderson Field
KANK,Harriet Alexander Field
KANW,Ainsworth Regional Airport
KAOH,Lima Allen County Airport
KAOO,Altoona Blair County Airport
KAPA,Centennial Airport
KAPC,Napa County Airport
KAPF,Naples Municipal Airport
KAPG,Phillips Army Air Field
KAPN,Alpena County Regional Airport
KAPY,Zapata County Airport
KAQO,Llano Municipal Airport
KAQP,Appleton Municipal Airport
KAQR,Atoka Municipal Airport
KAQW,Harriman and West Airport
KARA,Acadiana Regional Airport
KARB,Ann Arbor Municipal Airport
KARG,Walnut Ridge Regional Airport
KARM,Wharton Regional Airport
KARR,Aurora Municipal Airport
KART,Watertown International Airport
KARV,Lakeland-Noble F. Lee Memorial field
KARW,Beaufort County Airport
KASD,Slidell Airport
KASE,Aspen-Pitkin Co/Sardy Field
KASG,Springdale Municipal Airport
KASH,Boire Field
KASJ,Tri County Airport
KASL,Harrison County Airport
KAST,Astoria Regional Airport
KASW,Warsaw Municipal Airport
KASX,John F Kennedy Memorial Airport
KATL,Hartsfield Jackson Atlanta International Airport
KATS,Artesia Municipal Airport
KATW,Appleton International Airport
KATY,Watertown Regional Airport
KAUG,Augusta State Airport
KAUH,Aurora Municipal Al Potter Field
KAUM,Austin Municipal Airport
KAUN,Auburn Municipal Airport
KAUO,Auburn University Regional Airport
KAUS,Austin Bergstrom International Airport
KAUW,Wausau Downtown Airport
KAVC,Mecklenburg Brunswick Regional Airport
KAVK,Alva Regional Airport
KAVL,Asheville Regional Airport
KAVP,Wilkes Barre Scranton International Airport
KAVQ,Marana Regional Airport
KAVX,Catalina Airport
KAWG,Washington Municipal Airport
KAWM,West Memphis Municipal Airport
KAWO,Arlington Municipal Airport
KAXA,Algona Municipal Airport
KAXH,Houston Southwest Airport
KAXN,Chandler Field
KAXS,Altus Quartz Mountain Regional Airport
KAXV,Neil Armstrong Airport
KAXX,Angel Fire Airport
KAYS,Waycross Ware County Airport
KAZC,Colorado City Municipal Airport
KAZE,Hazlehurst Airport
KAZO,Kalamazoo Battle Creek International Airport
KBAB,Beale Air Force Base
KBAD,Barksdale Air Force Base
KBAF,Westfield-Barnes Regional Airport
KBAK,Columbus Municipal Airport
KBAM,Battle Mountain Airport
KBAX,Huron County Memorial Airport
KBAZ,New Braunfels Municipal Airport
KBBB,Benson Municipal Airport
KBBD,Curtis Field
KBBW,Broken Bow Municipal Airport
KBCB,Virginia Tech Montgomery Executive Airport
KBCE,Bryce Canyon Airport
KBCK,Black River Falls Area Airport
KBCT,Boca Raton Airport
KBDE,Baudette International Airport
KBDG,Blanding Municipal Airport
KBDL,Bradley International Airport
KBDN,Bend Municipal Airport
KBDR,Igor I Sikorsky Memorial Airport
KBDU,Boulder Municipal Airport
KBEA,Beeville Municipal Airport
KBEC,Beech Factory Airport
KBED,Laurence G Hanscom Field
KBEH,Southwest Michigan Regional Airport
KBFD,Bradford Regional Airport
KBFF,Western Neb. Rgnl/William B. Heilig Airport
KBFI,Boeing Field King County International Airport
KBFL,Meadows Field
KBFM,Mobile Downtown Airport
KBFW,Silver Bay Municipal Airport
KBGD,Hutchinson County Airport
KBGE,Decatur County Industrial Air Park
KBGF,Winchester Municipal Airport
KBGM,Greater Binghamton/Edwin A Link field
KBGR,Bangor International Airport
KBHB,Hancock County-Bar Harbor Airport
KBHC,Baxley Municipal Airport
KBHK,Baker Municipal Airport
KBHM,Birmingham-Shuttlesworth International Airport
KBID,Block Island State Airport
KBIE,Beatrice Municipal Airport
KBIF,Biggs Army Air Field (Fort Bliss)
KBIH,Eastern Sierra Regional Airport
KBIJ,Early County Airport
KBIL,Billings Logan International Airport
KBIS,Bismarck Municipal Airport
KBIV,Tulip City Airport
KBIX,Keesler Air Force Base
KBJC,Rocky Mountain Metropolitan Airport
KBJI,Bemidji Regional Airport
KBJJ,Wayne County Airport
KBKD,Stephens County Airport
KBKE,Baker City Municipal Airport
KBKF,Buckley Air Force Base
KBKL,Burke Lakefront Airport
KBKN,Blackwell Tonkawa Municipal Airport
KBKS,Brooks County Airport
KBKT,Allen C Perkinson Blackstone Army Air Field
KBKV,Hernando County Airport
KBKW,Raleigh County Memorial Airport
KBKX,Brookings Regional Airport
KBLF,Mercer County Airport
KBLH,Blythe Airport
KBLI,Bellingham International Airport
KBLM,Monmouth Executive Airport
KBLU,Blue Canyon Nyack Airport
KBLV,Scott AFB/Midamerica Airport
KBMC,Brigham City Regional Airport
KBMG,Monroe County Airport
KBMI,Central Illinois Regional Airport at Bloomington-Normal
KBML,Berlin Regional Airport
KBMQ,Burnet Municipal Kate Craddock Field
KBMT,Beaumont Municipal Airport
KBNA,Nashville International Airport
KBNL,Barnwell Regional Airport
KBNO,Burns Municipal Airport
KBNW,Boone Municipal Airport
KBOI,Boise Air Terminal/Gowen Field
KBOS,General Edward Lawrence Logan International Airport
KBOW,Bartow Municipal Airport
KBPG,Big Spring Mc Mahon-Wrinkle Airport
KBPI,Miley Memorial Field
KBPT,Southeast Texas Regional Airport
KBQK,Brunswick Golden Isles Airport
KBQP,Morehouse Memorial Airport
KBRD,Brainerd Lakes Regional Airport
KBRL,Southeast Iowa Regional Airport
KBRO,Brownsville South Padre Island International Airport
KBRY,Samuels Field
KBTA,Blair Municipal Airport
KBTL,W K Kellogg Airport
KBTM,Bert Mooney Airport
KBTP,Pittsburgh/Butler Regional Airport
KBTR,Baton Rouge Metropolitan Airport
KBTV,Burlington International Airport
KBUF,Buffalo Niagara International Airport
KBUR,Bob Hope Airport
KBUU,Burlington Municipal Airport
KBUY,Burlington Alamance Regional Airport
KBVI,Beaver County Airport
KBVN,Albion Municipal Airport
KBVO,Bartlesville Municipal Airport
KBVS,Skagit Regional Airport
KBVX,Batesville Regional Airport
KBVY,Beverly Municipal Airport
KBWD,Brownwood Regional Airport
KBWG,Bowling Green Warren County Regional Airport
KBWI,Baltimore/Washington International Thurgood Marshall Airport
KBWP,Harry Stern Airport
KBWW,Bowman Regional Airport
KBXA,George R Carr Memorial Air Field
KBYG,Johnson County Airport
KBYH,Arkansas International Airport
KBYI,Burley Municipal Airport
KBYS,Bicycle Lake Army Air Field
KBYY,Bay City Municipal Airport
KBZN,Gallatin Field
KC29,Middleton Municipal Morey Field
KC35,Reedsburg Municipal Airport
KC65,Plymouth Municipal Airport
KC75,Marshall County Airport
KCAD,Wexford County Airport
KCAE,Columbia Metropolitan Airport
KCAG,Craig Moffat Airport
KCAK,Akron Canton Regional Airport
KCAO,Clayton Municipal Airpark
KCAR,Caribou Municipal Airport
KCAV,Clarion Municipal Airport
KCBE,Greater Cumberland Regional Airport
KCBF,Council Bluffs Municipal Airport
KCBG,Cambridge Municipal Airport
KCBK,Shalz Field
KCBM,Columbus Air Force Base
KCCA,Clinton Municipal Airport
KCCB,Cable Airport
KCCO,Newnan Coweta County Airport
KCCR,Buchanan Field
KCCY,Northeast Iowa Regional Airport
KCDA,Caledonia County Airport
KCDC,Cedar City Regional Airport
KCDH,Harrell Field
KCDI,Cambridge Municipal Airport
KCDN,Woodward Field
KCDR,Chadron Municipal Airport
KCDS,Childress Municipal Airport
KCDW,Essex County Airport
KCEC,Jack Mc Namara Field Airport
KCEF,Westover ARB/Metropolitan Airport
KCEU,Oconee County Regional Airport
KCEW,Bob Sikes Airport
KCEY,Kyle Oakley Field
KCEZ,Cortez Municipal Airport
KCFD,Coulter Field
KCFE,Buffalo Municipal Airport
KCFJ,Crawfordsville Regional Airport
KCFS,Tuscola Area Airport
KCFV,Coffeyville Municipal Airport
KCGC,Crystal River Airport
KCGE,Cambridge Dorchester Airport
KCGF,Cuyahoga County Airport
KCGI,Cape Girardeau Regional Airport
KCGS,College Park Airport
KCGZ,Casa Grande Municipal Airport
KCHA,Lovell Field
KCHD,Chandler Municipal Airport
KCHK,Chickasha Municipal Airport
KCHO,Charlottesville Albemarle Airport
KCHS,Charleston Air Force Base-International Airport
KCIC,Chico Municipal Airport
KCID,The Eastern Iowa Airport
KCII,Choteau Airport
KCIN,Arthur N Neu Airport
KCIR,Cairo Regional Airport
KCIU,Chippewa County International Airport
KCJR,Culpeper Regional Airport
KCKB,North Central West Virginia Airport
KCKC,Grand Marais Cook County Airport
KCKF,Crisp County Cordele Airport
KCKI,Williamsburg Regional Airport
KCKM,Fletcher Field
KCKN,Crookston Municipal Kirkwood Field
KCKP,Cherokee County Regional Airport
KCKV,Clarksville–Montgomery County Regional Airport
KCKZ,Pennridge Airport
KCLE,Cleveland Hopkins International Airport
KCLI,Clintonville Municipal Airport
KCLK,Clinton Regional Airport
KCLL,Easterwood Field
KCLM,William R Fairchild International Airport
KCLS,Chehalis Centralia Airport
KCLT,Charlotte Douglas International Airport
KCLW,Clearwater Air Park
KCMA,Camarillo Airport
KCMH,John Glenn Columbus International Airport
KCMI,University of Illinois Willard Airport
KCMR,H.A. Clark Memorial Field
KCMX,Houghton County Memorial Airport
KCMY,Sparta Fort Mc Coy Airport
KCNB,Myers Field
KCNC,Chariton Municipal Airport
KCNK,Blosser Municipal Airport
KCNM,Cavern City Air Terminal
KCNO,Chino Airport
KCNU,Chanute Martin Johnson Airport
KCNW,TSTC Waco Airport
KCNY,Canyonlands Field
KCOD,Yellowstone Regional Airport
KCOE,Coeur D'Alene - Pappy Boyington Field
KCOF,Patrick Air Force Base
KCOM,Coleman Municipal Airport
KCON,Concord Municipal Airport
KCOQ,Cloquet Carlton County Airport
KCOS,City of Colorado Springs Municipal Airport
KCOT,Cotulla-La Salle County Airport
KCOU,Columbia Regional Airport
KCPC,Columbus County Municipal Airport
KCPR,Casper-Natrona County International Airport
KCPS,St Louis Downtown Airport
KCPT,Cleburne Municipal Airport
KCPU,Calaveras Co Maury Rasmussen Field
KCQB,Chandler Regional Airport
KCQM,Cook Municipal Airport
KCQW,Cheraw Municipal Airport/Lynch Bellinger Field
KCQX,Chatham Municipal Airport
KCRE,Grand Strand Airport
KCRG,Jacksonville Executive at Craig Airport
KCRP,Corpus Christi International Airport
KCRQ,Mc Clellan-Palomar Airport
KCRS,C David Campbell Field Corsicana Municipal Airport
KCRW,Yeager Airport
KCRX,Roscoe Turner Airport
KCSG,Columbus Metropolitan Airport
KCSM,Clinton Sherman Airport
KCSQ,Creston Municipal Airport
KCSV,Crossville Memorial Whitson Field
KCTB,Cut Bank International Airport
KCTJ,West Georgia Regional O V Gray Field
KCTY,Cross City Airport
KCTZ,Sampson County Airport
KCUB,Jim Hamilton L.B. Owens Airport
KCUH,Cushing Municipal Airport
KCUL,Carmi Municipal Airport
KCUT,Custer County Airport
KCVB,Castroville Municipal Airport
KCVG,Cincinnati Northern Kentucky International Airport
KCVN,Clovis Municipal Airport
KCVO,Corvallis Municipal Airport
KCVS,Cannon Air Force Base
KCVX,Charlevoix Municipal Airport
KCWA,Central Wisconsin Airport
KCWC,Kickapoo Downtown Airport
KCWF,Chennault International Airport
KCWI,Clinton Municipal Airport
KCWV,Claxton Evans County Airport
KCXE,Chase City Municipal Airport
KCXO,Conroe-North Houston Regional Airport
KCXP,Carson Airport
KCXU,Camilla Mitchell County Airport
KCXW,Cantrell Field Airport
KCXY,Capital City Airport
KCYS,Cheyenne Regional Jerry Olson Field
KCZL,Tom B. David Field
KCZT,Dimmit County Airport
KD07,Faith Municipal Airport
KD25,Manitowish Waters Airport
KD39,Sauk Centre Municipal Airport
KD55,Robertson Field
KD57,Glen Ullin Regional Airport
KD60,Tioga Municipal Airport
KD73,Monroe Walton County Airport
KD95,Dupont-Lapeer Airport
KDAA,Davison Army Air Field
KDAB,Daytona Beach International Airport
KDAG,Barstow Daggett Airport
KDAL,Dallas Love Field
KDAN,Danville Regional Airport
KDAW,Skyhaven Airport
KDAY,James M Cox Dayton International Airport
KDBN,W H 'Bud' Barron Airport
KDBQ,Dubuque Regional Airport
KDCA,Ronald Reagan Washington National Airport
KDCM,Chester Catawba Regional Airport
KDCU,Pryor Field Regional Airport
KDCY,Daviess County Airport
KDDC,Dodge City Regional Airport
KDDH,William H. Morse State Airport
KDEC,Decatur Airport
KDEH,Decorah Municipal Airport
KDEN,Denver International Airport
KDEQ,J Lynn Helms Sevier County Airport
KDET,Coleman A. Young Municipal Airport
KDEW,Deer Park Airport
KDFI,Defiance Memorial Airport
KDFW,Dallas Fort Worth International Airport
KDGW,Converse County Airport
KDHN,Dothan Regional Airport
KDHT,Dalhart Municipal Airport
KDIJ,Driggs Reed Memorial Airport
KDIK,Dickinson Theodore Roosevelt Regional Airport
KDKB,De Kalb Taylor Municipal Airport
KDKK,Chautauqua County-Dunkirk Airport
KDKX,Knoxville Downtown Island Airport
KDLF,DLF Airport
KDLH,Duluth International Airport
KDLL,Baraboo Wisconsin Dells Airport
KDLN,Dillon Airport
KDLS,Columbia Gorge Regional the Dalles Municipal Airport
KDLZ,Delaware Municipal Airport
KDMA,Davis Monthan Air Force Base
KDMN,Deming Municipal Airport
KDMO,Sedalia Memorial Airport
KDMW,Carroll County Regional Jack B Poage Field
KDNL,Daniel Field
KDNN,Dalton Municipal Airport
KDNS,Denison Municipal Airport
KDNV,Vermilion Regional Airport
KDOV,Dover Air Force Base
KDPA,Dupage Airport
KDPG,Michael AAF (Dugway Proving Ground) Airport
KDPL,Duplin County Airport
KDQH,Douglas Municipal Airport
KDRA,Desert Rock Airport
KDRI,Beauregard Regional Airport
KDRM,Drummond Island Airport
KDRO,Durango La Plata County Airport
KDRT,Del Rio International Airport
KDSM,Des Moines International Airport
KDSV,Dansville Municipal Airport
KDTA,Delta Municipal Airport
KDTN,Shreveport Downtown Airport
KDTO,Denton Municipal Airport
KDTS,Destin Executive Airport
KDTW,Detroit Metropolitan Wayne County Airport
KDUA,Eaker Field
KDUC,Halliburton Field
KDUH,Toledo Suburban Airport
KDUJ,DuBois Regional Airport
KDUX,Moore County Airport
KDVK,Stuart Powell Field
KDVL,Devils Lake Regional Airport
KDVN,Davenport Municipal Airport
KDVO,Marin County Airport - Gnoss Field
KDVP,Slayton Municipal Airport
KDVT,Phoenix Deer Valley Airport
KDWH,David Wayne Hooks Memorial Airport
KDWU,Ashland Regional Airport
KDXR,Danbury Municipal Airport
KDXX,Lac Qui Parle County Airport
KDYA,Demopolis Municipal Airport
KDYB,Summerville Airport
KDYL,Doylestown Airport
KDYR,Dyersburg Regional Airport
KDYS,Dyess Air Force Base
KDYT,Sky Harbor Airport
KDZB,Horseshoe Bay Resort Airpark
KDZJ,Blairsville Airport
KE11,Andrews County Airport
KE16,San Martin Airport
KE38,Alpine Casparis Municipal Airport
KEAR,Kearney Regional Airport
KEAT,Pangborn Memorial Airport
KEAU,Chippewa Valley Regional Airport
KEBG,South Texas International At Edinburg Airport
KEBS,Webster City Municipal Airport
KECG,Elizabeth City Regional Airport & Coast Guard Air Station
KECP,Northwest Florida Beaches International Airport
KECS,Mondell Field
KECU,Edwards County Airport
KEDC,Austin Executive Airport
KEDE,Northeastern Regional Airport
KEDJ,Bellefontaine Regional Airport
KEDN,Enterprise Municipal Airport
KEDU,University Airport
KEDW,Edwards Air Force Base
KEED,Needles Airport
KEEN,Dillant Hopkins Airport
KEEO,Meeker Airport
KEET,Shelby County Airport
KEFD,Ellington Airport
KEFK,Northeast Kingdom International Airport
KEFT,Monroe Municipal Airport
KEGE,Eagle County Regional Airport
KEGI,Duke Field
KEGV,Eagle River Union Airport
KEHA,Elkhart Morton County Airport
KEHO,Shelby-Cleveland County Regional Airport
KEHR,Henderson City County Airport
KEIK,Erie Municipal Airport
KEKN,Elkins-Randolph Co-Jennings Randolph Field
KEKO,Elko Regional Airport
KEKS,Ennis Big Sky Airport
KEKX,Addington Field
KEKY,Bessemer Airport
KELA,Eagle Lake Airport
KELD,South Arkansas Regional At Goodwin Field
KELK,Elk City Regional Business Airport
KELM,Elmira Corning Regional Airport
KELN,Bowers Field
KELO,Ely Municipal Airport
KELP,El Paso International Airport
KELY,Ely Airport Yelland Field
KELZ,"Wellsville Municipal Arpt,Tarantine Field"
KEMM,Kemmerer Municipal Airport
KEMP,Emporia Municipal Airport
KEMT,San Gabriel Valley Airport
KEND,Vance Air Force Base
KENL,Centralia Municipal Airport
KENV,Wendover Airport
KENW,Kenosha Regional Airport
KEOE,Newberry County Airport
KEOK,Keokuk Municipal Airport
KEPH,Ephrata Municipal Airport
KEQA,Captain Jack Thomas El Dorado Airport
KEQY,Charlotte-Monroe Executive Airport
KERI,Erie International Tom Ridge Field
KERV,Kerrville Municipal Louis Schreiner Field
KERY,Luce County Airport
KESC,Delta County Airport
KESF,Esler Regional Airport
KESN,Easton Newnam Field
KEST,Estherville Municipal Airport
KETB,West Bend Municipal Airport
KETC,Tarboro Edgecombe Airport
KETH,Wheaton Municipal Airport
KETN,Eastland Municipal Airport
KEUG,Mahlon Sweet Field
KEUL,Caldwell Industrial Airport
KEVB,New Smyrna Beach Municipal Airport
KEVM,Eveleth Virginia Municipal Airport
KEVV,Evansville Regional Airport
KEVW,Evanston-Uinta County Airport-Burns Field
KEWB,New Bedford Regional Airport
KEWK,Newton City-County Airport
KEWN,Coastal Carolina Regional Airport
KEWR,Newark Liberty International Airport
KEXX,Davidson County Airport
KEYE,Eagle Creek Airpark
KEYF,Curtis L Brown Jr Field
KEYW,Key West International Airport
KEZF,Shannon Airport
KEZM,Heart of Georgia Regional Airport
KEZS,Shawano Municipal Airport
KEZZ,Cameron Memorial Airport
KF00,Jones Field
KF05,Wilbarger County Airport
KF44,Athens Municipal Airport
KF45,North Palm Beach County General Aviation Airport
KF46,Rockwall Municipal Airport
KF70,French Valley Airport
KFAF,Felker Army Air Field
KFAM,Farmington Regional Airport
KFAR,Hector International Airport
KFAT,Fresno Yosemite International Airport
KFAY,Fayetteville Regional Grannis Field
KFBG,Simmons Army Air Field
KFBL,Faribault Municipal Airport-Liz Wall Strohfus Field
KFCH,Fresno Chandler Executive Airport
KFCI,Chesterfield County Airport
KFCM,Flying Cloud Airport
KFCS,Butts AAF (Fort Carson) Air Field
KFDK,Frederick Municipal Airport
KFDR,Frederick Regional Airport
KFDY,Findlay Airport
KFEP,Albertus Airport
KFET,Fremont Municipal Airport
KFFA,First Flight Airport
KFFC,Peachtree City Falcon Field
KFFL,Fairfield Municipal Airport
KFFM,Fergus Falls Municipal Airport - Einar Mickelson Field
KFFO,Wright-Patterson Air Force Base
KFFT,Capital City Airport
KFFX,Fremont Municipal Airport
KFFZ,Falcon Field
KFGX,Fleming Mason Airport
KFHR,Friday Harbor Airport
KFHU,Sierra Vista Municipal Libby Army Air Field
KFIG,Clearfield Lawrence Airport
KFIT,Fitchburg Municipal Airport
KFKA,Fillmore County Airport
KFKL,Venango Regional Airport
KFKN,Franklin Municipal-John Beverly Rose Airport
KFKR,Frankfort Municipal Airport
KFKS,Frankfort Dow Memorial Field
KFLD,Fond du Lac County Airport
KFLG,Flagstaff Pulliam Airport
KFLL,Fort Lauderdale Hollywood International Airport
KFLO,Florence Regional Airport
KFLP,Marion County Regional Airport
KFME,Tipton Airport
KFMH,Cape Cod Coast Guard Air Station
KFMM,Fort Morgan Municipal Airport
KFMN,Four Corners Regional Airport
KFMY,Page Field
KFNB,Brenner Field
KFNL,Northern Colorado Regional Airport
KFNT,Bishop International Airport
KFOA,Flora Municipal Airport
KFOD,Fort Dodge Regional Airport
KFOE,Topeka Regional Airport - Forbes Field
KFOK,Francis S Gabreski Airport
KFOT,Rohnerville Airport
KFOZ,Bigfork Municipal Airport
KFPK,Fitch H Beach Airport
KFPR,St Lucie County International Airport
KFQD,Rutherford County Marchman Field
KFRG,Republic Airport
KFRH,French Lick Municipal Airport
KFRI,Marshall Army Air Field
KFRM,Fairmont Municipal Airport
KFRR,Front Royal Warren County Airport
KFSD,Joe Foss Field Airport
KFSE,Fosston Municipal Airport-Anderson Field
KFSI,Henry Post Army Air Field (Fort Sill)
KFSM,Fort Smith Regional Airport
KFSO,Franklin County State Airport
KFST,Fort Stockton Pecos County Airport
KFSW,Fort Madison Municipal Airport
KFTK,Godman Army Air Field
KFTW,Fort Worth Meacham International Airport
KFTY,Fulton County Airport Brown Field
KFUL,Fullerton Municipal Airport
KFVE,Northern Aroostook Regional Airport
KFVX,Farmville Regional Airport
KFWA,Fort Wayne International Airport
KFWC,Fairfield Municipal Airport
KFWN,Sussex Airport
KFWS,Fort Worth Spinks Airport
KFXE,Fort Lauderdale Executive Airport
KFXY,Forest City Municipal Airport
KFYJ,Middle Peninsula Regional Airport
KFYM,Fayetteville Municipal Airport
KFYV,Drake Field
KFZG,Fitzgerald Municipal Airport
KFZY,Oswego County Airport
KGAD,Northeast Alabama Regional Airport
KGAG,Gage Airport
KGAI,Montgomery County Airpark
KGAO,South Lafourche Leonard Miller Jr Airport
KGBD,Great Bend Municipal Airport
KGBG,Galesburg Municipal Airport
KGCC,Gillette Campbell County Airport
KGCD,Grant Co Regional/Ogilvie Field
KGCK,Garden City Regional Airport
KGCM,Claremore Regional Airport
KGCN,Grand Canyon National Park Airport
KGCY,Greeneville-Greene County Municipal Airport
KGDB,Granite Falls Municipal-Lenzen-Roe Memorial Field
KGDJ,Granbury Regional Airport
KGDV,Dawson Community Airport
KGED,Sussex County Airport
KGEG,Spokane International Airport
KGEU,Glendale Municipal Airport
KGEV,Ashe County Airport
KGEY,South Big Horn County Airport
KGEZ,Shelbyville Municipal Airport
KGFA,Malmstrom Air Force Base
KGFK,Grand Forks International Airport
KGFL,Floyd Bennett Memorial Airport
KGGE,Georgetown County Airport
KGGG,East Texas Regional Airport
KGGP,Logansport Cass County Airport
KGGW,Wokal Field Glasgow International Airport
KGHG,Marshfield Municipal George Harlow Field
KGHW,Glenwood Municipal Airport
KGIF,Winter Haven Regional Airport - Gilbert Field
KGJT,Grand Junction Regional Airport
KGKJ,Port Meadville Airport
KGKT,Gatlinburg-Pigeon Forge Airport
KGKY,Arlington Municipal Airport
KGLD,Renner Field-Goodland Municipal Airport
KGLE,Gainesville Municipal Airport
KGLH,Mid Delta Regional Airport
KGLR,Gaylord Regional Airport
KGLS,Scholes International At Galveston Airport
KGLW,Glasgow Municipal Airport
KGLY,Clinton Memorial Airport
KGMJ,Grove Municipal Airport
KGMU,Greenville Downtown Airport
KGNB,Granby Grand County Airport
KGNC,Gaines County Airport
KGNT,Grants-Milan Municipal Airport
KGNV,Gainesville Regional Airport
KGOK,Guthrie-Edmond Regional Airport
KGON,Groton New London Airport
KGOO,Nevada County Airport
KGOP,Gatesville Municipal Airport
KGOV,Grayling Army Air Field
KGPH,Midwest National Air Center Airport
KGPI,Glacier Park International Airport
KGPM,Grand Prairie Municipal Airport
KGPT,Gulfport Biloxi International Airport
KGPZ,Grand Rapids Itasca Co-Gordon Newstrom field
KGRB,Austin Straubel International Airport
KGRD,Greenwood County Airport
KGRF,Gray Army Air Field
KGRI,Central Nebraska Regional Airport
KGRK,Robert Gray  Army Air Field Airport
KGRN,Gordon Municipal Airport
KGRR,Gerald R. Ford International Airport
KGSB,Seymour Johnson Air Force Base
KGSH,Goshen Municipal Airport
KGSO,Piedmont Triad International Airport
KGSP,Greenville Spartanburg International Airport
KGTB,Wheeler Sack Army Air Field
KGTF,Great Falls International Airport
KGTR,Golden Triangle Regional Airport
KGTU,Georgetown Municipal Airport
KGUC,Gunnison Crested Butte Regional Airport
KGUP,Gallup Municipal Airport
KGUS,Grissom Air Reserve Base
KGUY,Guymon Municipal Airport
KGVL,Lee Gilmer Memorial Airport
KGVQ,Genesee County Airport
KGVT,Majors Airport
KGWB,De Kalb County Airport
KGWO,Greenwood–Leflore Airport
KGWR,Gwinner Roger Melroe Field
KGWW,Goldsboro-Wayne Municipal Airport
KGXY,Greeley–Weld County Airport
KGYB,Giddings Lee County Airport
KGYH,Donaldson Field Airport
KGYI,North Texas Regional Airport/Perrin Field
KGYL,Glencoe Municipal Airport
KGYR,Phoenix Goodyear Airport
KGYY,Gary Chicago International Airport
KGZH,Evergreen Regional Airport/Middleton Field
KGZN,Gregory M. Simmons Memorial Airport
KGZS,Abernathy Field
KH71,Mid America Industrial Airport
KHAF,Half Moon Bay Airport
KHAI,Three Rivers Municipal Dr Haines Airport
KHAO,Butler Co Regional Airport - Hogan Field
KHBG,Hattiesburg Bobby L Chain Municipal Airport
KHBR,Hobart Regional Airport
KHBV,Jim Hogg County Airport
KHCD,Hutchinson Municipal Butler Field
KHCO,Hallock Municipal Airport
KHDC,Hammond Northshore Regional Airport
KHDE,Brewster Field
KHDN,Yampa Valley Airport
KHDO,South Texas Regional Airport at Hondo
KHEF,Manassas Regional Airport/Harry P. Davis Field
KHEG,Herlong Airport
KHEI,Hettinger Municipal Airport
KHEQ,Holyoke Airport
KHEZ,Hardy-Anders Field / Natchez-Adams County Airport
KHFD,Hartford Brainard Airport
KHFF,Mackall Army Air Field
KHFJ,Monett Municipal Airport
KHFY,Indy South Greenwood Airport
KHGR,Hagerstown Regional Richard A Henson Field
KHHF,Hemphill County Airport
KHHG,Huntington Municipal Airport
KHHR,Jack Northrop Field Hawthorne Municipal Airport
KHIB,Range Regional Airport
KHIE,Mount Washington Regional Airport
KHIF,Hill Air Force Base
KHII,Lake Havasu City Airport
KHIO,Portland Hillsboro Airport
KHJH,Hebron Municipal Airport
KHJO,Hanford Municipal Airport
KHKA,Blytheville Municipal Airport
KHKS,Hawkins Field
KHKY,Hickory Regional Airport
KHLB,Hillenbrand Industries Airport
KHLC,Hill City Municipal Airport
KHLG,Wheeling Ohio County Airport
KHLN,Helena Regional Airport
KHLR,Hood Army Air Field
KHLX,Twin County Airport
KHMN,Holloman Air Force Base
KHMT,Hemet Ryan Airport
KHMZ,Bedford County Airport
KHNB,Huntingburg Airport
KHND,Henderson Executive Airport
KHNR,Harlan Municipal Airport
KHNZ,Henderson Oxford Airport
KHOB,Lea County Regional Airport
KHOE,Homerville Airport
KHON,Huron Regional Airport
KHOP,Campbell AAF (Fort Campbell) Air Field
KHOT,Memorial Field
KHOU,William P Hobby Airport
KHPN,Westchester County Airport
KHPT,Hampton Municipal Airport
KHQG,Hugoton Municipal Airport
KHQG,Hugoton Municipal Airport
KHQM,Bowerman Airport
KHQU,Thomson-McDuffie County Airport
KHQZ,Mesquite Metro Airport
KHRI,Hermiston Municipal Airport
KHRJ,Harnett Regional Jetport Airport
KHRL,Valley International Airport
KHRO,Boone County Airport
KHRT,Hurlburt Field
